Date,SKU,Category,Price,Sales,Stock,Promotion
2025-01-01,SKU001,Beverages,26.65,131,369,0
2025-01-02,SKU001,Beverages,24.66,99,401,0
2025-01-03,SKU001,Beverages,24.92,135,365,0
2025-01-04,SKU001,Beverages,26.04,132,368,0
2025-01-05,SKU001,Beverages,26.51,144,356,1
2025-01-06,SKU001,Beverages,24.84,133,367,1
2025-01-07,SKU001,Beverages,24.51,140,360,0
2025-01-08,SKU001,Beverages,25.99,127,373,0
2025-01-09,SKU001,Beverages,26.66,181,319,1
2025-01-10,SKU001,Beverages,26.29,178,322,1
2025-01-11,SKU001,Beverages,25.58,121,379,0
2025-01-12,SKU001,Beverages,26.16,96,404,0
2025-01-13,SKU001,Beverages,25.87,117,383,0
2025-01-14,SKU001,Beverages,25.28,148,352,1
2025-01-15,SKU001,Beverages,26.24,100,400,0
2025-01-16,SKU001,Beverages,25.65,116,384,0
2025-01-17,SKU001,Beverages,26.0,117,383,0
2025-01-18,SKU001,Beverages,25.29,140,360,0
2025-01-19,SKU001,Beverages,25.77,139,361,1
2025-01-20,SKU001,Beverages,26.22,115,385,0
2025-01-21,SKU001,Beverages,24.94,104,396,0
2025-01-22,SKU001,Beverages,26.51,120,380,0
2025-01-23,SKU001,Beverages,26.74,125,375,0
2025-01-24,SKU001,Beverages,25.31,120,380,0
2025-01-25,SKU001,Beverages,24.69,128,372,1
2025-01-26,SKU001,Beverages,26.62,126,374,0
2025-01-27,SKU001,Beverages,25.61,108,392,0
2025-01-28,SKU001,Beverages,26.36,132,368,1
2025-01-29,SKU001,Beverages,25.92,104,396,0
2025-01-30,SKU001,Beverages,24.92,126,374,0
2025-01-31,SKU001,Beverages,24.29,104,396,0
2025-02-01,SKU001,Beverages,26.35,143,357,0
2025-02-02,SKU001,Beverages,25.76,107,393,0
2025-02-03,SKU001,Beverages,26.0,109,391,0
2025-02-04,SKU001,Beverages,24.98,140,360,0
2025-02-05,SKU001,Beverages,25.57,183,317,1
2025-02-06,SKU001,Beverages,24.45,116,384,0
2025-02-07,SKU001,Beverages,24.8,138,362,1
