Date,SKU,Category,Price,Sales,Stock,Promotion
2025-01-01,SKU004,Household,114.25,35,45,0
2025-01-02,SKU004,Household,115.46,29,51,0
2025-01-03,SKU004,Household,123.27,34,46,1
2025-01-04,SKU004,Household,114.38,31,49,0
2025-01-05,SKU004,Household,119.01,26,54,0
2025-01-06,SKU004,Household,118.41,31,49,0
2025-01-07,SKU004,Household,115.12,34,46,0
2025-01-08,SKU004,Household,121.89,40,40,1
2025-01-09,SKU004,Household,117.53,37,43,1
2025-01-10,SKU004,Household,124.68,28,52,0
2025-01-11,SKU004,Household,119.27,24,56,0
2025-01-12,SKU004,Household,119.9,29,51,0
2025-01-13,SKU004,Household,115.21,24,56,0
2025-01-14,SKU004,Household,115.24,34,46,0
2025-01-15,SKU004,Household,115.72,33,47,0
2025-01-16,SKU004,Household,115.41,31,49,0
2025-01-17,SKU004,Household,119.47,40,40,1
2025-01-18,SKU004,Household,121.13,28,52,0
2025-01-19,SKU004,Household,120.24,34,46,0
2025-01-20,SKU004,Household,119.51,35,45,0
2025-01-21,SKU004,Household,114.47,33,47,0
2025-01-22,SKU004,Household,114.24,27,53,0
2025-01-23,SKU004,Household,116.08,34,46,0
2025-01-24,SKU004,Household,120.39,24,56,0
2025-01-25,SKU004,Household,115.97,33,47,0
2025-01-26,SKU004,Household,115.82,27,53,0
2025-01-27,SKU004,Household,115.84,40,40,1
2025-01-28,SKU004,Household,123.63,24,56,0
2025-01-29,SKU004,Household,114.8,32,48,0
2025-01-30,SKU004,Household,116.77,32,48,0
2025-01-31,SKU004,Household,121.08,27,53,0
2025-02-01,SKU004,Household,117.29,30,50,0
2025-02-02,SKU004,Household,121.96,35,45,0
2025-02-03,SKU004,Household,116.22,30,50,0
2025-02-04,SKU004,Household,114.44,40,40,1
2025-02-05,SKU004,Household,124.48,35,45,0
2025-02-06,SKU004,Household,125.31,31,49,0
2025-02-07,SKU004,Household,124.66,35,45,0
2025-02-08,SKU004,Household,122.5,44,36,1
2025-02-09,SKU004,Household,125.56,28,52,0
2025-02-10,SKU004,Household,119.11,38,42,1
2025-02-11,SKU004,Household,124.42,33,47,0
2025-02-12,SKU004,Household,122.34,34,46,0
2025-02-13,SKU004,Household,114.38,35,45,0
2025-02-14,SKU004,Household,120.66,32,48,0
2025-02-15,SKU004,Household,124.95,26,54,0
2025-02-16,SKU004,Household,116.83,24,56,0
2025-02-17,SKU004,Household,117.79,39,41,1
2025-02-18,SKU004,Household,119.97,31,49,0
2025-02-19,SKU004,Household,123.81,25,55,0
2025-02-20,SKU004,Household,123.76,32,48,0
2025-02-21,SKU004,Household,122.51,25,55,0
2025-02-22,SKU004,Household,121.04,26,54,0
2025-02-23,SKU004,Household,116.3,36,44,1
2025-02-24,SKU004,Household,123.07,28,52,0
2025-02-25,SKU004,Household,121.21,30,50,0
2025-02-26,SKU004,Household,116.1,30,50,0
2025-02-27,SKU004,Household,115.71,25,55,0
2025-02-28,SKU004,Household,120.42,26,54,0
2025-03-01,SKU004,Household,114.46,45,35,1
2025-03-02,SKU004,Household,121.92,33,47,0
2025-03-03,SKU004,Household,118.47,29,51,0
2025-03-04,SKU004,Household,123.81,26,54,0
2025-03-05,SKU004,Household,120.65,24,56,0
2025-03-06,SKU004,Household,120.96,30,50,0
2025-03-07,SKU004,Household,115.42,28,52,0
2025-03-08,SKU004,Household,123.19,25,55,0
2025-03-09,SKU004,Household,125.56,30,50,0
2025-03-10,SKU004,Household,119.5,29,51,0
2025-03-11,SKU004,Household,114.33,24,56,0
