Date,SKU,Category,Price,Sales,Stock,Promotion
2025-01-01,SKU002,Snacks,14.48,172,128,0
2025-01-02,SKU002,Snacks,15.7,292,8,1
2025-01-03,SKU002,Snacks,14.67,203,97,0
2025-01-04,SKU002,Snacks,15.41,199,101,0
2025-01-05,SKU002,Snacks,14.59,194,106,0
2025-01-06,SKU002,Snacks,15.73,179,121,0
2025-01-07,SKU002,Snacks,14.64,276,24,1
2025-01-08,SKU002,Snacks,15.32,178,122,0
2025-01-09,SKU002,Snacks,14.27,234,66,0
2025-01-10,SKU002,Snacks,15.02,260,40,1
2025-01-11,SKU002,Snacks,15.34,238,62,0
2025-01-12,SKU002,Snacks,14.32,163,137,0
2025-01-13,SKU002,Snacks,15.66,190,110,0
2025-01-14,SKU002,Snacks,14.76,234,66,0
2025-01-15,SKU002,Snacks,14.34,203,97,0
2025-01-16,SKU002,Snacks,14.42,259,41,1
2025-01-17,SKU002,Snacks,15.13,232,68,0
2025-01-18,SKU002,Snacks,14.32,210,90,1
2025-01-19,SKU002,Snacks,15.18,188,112,0
2025-01-20,SKU002,Snacks,15.54,235,65,0
2025-01-21,SKU002,Snacks,14.43,196,104,0
2025-01-22,SKU002,Snacks,14.41,195,105,0
2025-01-23,SKU002,Snacks,14.4,172,128,0
2025-01-24,SKU002,Snacks,14.42,208,92,0
2025-01-25,SKU002,Snacks,15.11,227,73,0
2025-01-26,SKU002,Snacks,14.46,223,77,0
2025-01-27,SKU002,Snacks,14.52,232,68,0
2025-01-28,SKU002,Snacks,15.55,261,39,1
2025-01-29,SKU002,Snacks,14.47,251,49,1
2025-01-30,SKU002,Snacks,14.29,172,128,0
2025-01-31,SKU002,Snacks,14.88,231,69,0
2025-02-01,SKU002,Snacks,14.51,181,119,0
2025-02-02,SKU002,Snacks,14.68,188,112,0
2025-02-03,SKU002,Snacks,14.79,167,133,0
2025-02-04,SKU002,Snacks,15.67,257,43,1
2025-02-05,SKU002,Snacks,15.75,188,112,0
2025-02-06,SKU002,Snacks,15.67,256,44,1
2025-02-07,SKU002,Snacks,15.14,206,94,0
2025-02-08,SKU002,Snacks,14.65,230,70,0
2025-02-09,SKU002,Snacks,15.2,203,97,0
2025-02-10,SKU002,Snacks,14.98,221,79,0
2025-02-11,SKU002,Snacks,15.23,189,111,0
2025-02-12,SKU002,Snacks,14.27,165,135,0
2025-02-13,SKU002,Snacks,15.45,176,124,0
2025-02-14,SKU002,Snacks,15.71,186,114,0
2025-02-15,SKU002,Snacks,14.98,229,71,0
2025-02-16,SKU002,Snacks,15.24,186,114,0
2025-02-17,SKU002,Snacks,15.05,234,66,0
2025-02-18,SKU002,Snacks,15.55,174,126,0
2025-02-19,SKU002,Snacks,14.74,213,87,0
2025-02-20,SKU002,Snacks,14.82,191,109,0
2025-02-21,SKU002,Snacks,14.87,169,131,0
2025-02-22,SKU002,Snacks,15.48,193,107,0
2025-02-23,SKU002,Snacks,15.34,206,94,0
2025-02-24,SKU002,Snacks,14.51,279,21,1
2025-02-25,SKU002,Snacks,14.38,234,66,0
2025-02-26,SKU002,Snacks,14.45,297,3,1
2025-02-27,SKU002,Snacks,14.34,239,61,0
2025-02-28,SKU002,Snacks,14.87,198,102,0
2025-03-01,SKU002,Snacks,15.43,240,60,1
2025-03-02,SKU002,Snacks,14.77,221,79,0
2025-03-03,SKU002,Snacks,15.47,212,88,0
2025-03-04,SKU002,Snacks,15.73,234,66,0
2025-03-05,SKU002,Snacks,15.08,218,82,0
2025-03-06,SKU002,Snacks,15.44,167,133,0
2025-03-07,SKU002,Snacks,15.75,234,66,0
2025-03-08,SKU002,Snacks,14.45,166,134,0
2025-03-09,SKU002,Snacks,15.05,192,108,0
2025-03-10,SKU002,Snacks,15.54,217,83,0
2025-03-11,SKU002,Snacks,15.57,298,2,1
2025-03-12,SKU002,Snacks,15.44,185,115,0
2025-03-13,SKU002,Snacks,15.33,231,69,0
2025-03-14,SKU002,Snacks,14.96,309,0,1
2025-03-15,SKU002,Snacks,14.42,195,105,0
2025-03-16,SKU002,Snacks,14.27,197,103,0
2025-03-17,SKU002,Snacks,15.57,267,33,1
2025-03-18,SKU002,Snacks,14.46,182,118,0
2025-03-19,SKU002,Snacks,15.74,170,130,0
2025-03-20,SKU002,Snacks,15.66,213,87,0
2025-03-21,SKU002,Snacks,15.26,182,118,0
2025-03-22,SKU002,Snacks,15.27,208,92,0
2025-03-23,SKU002,Snacks,15.69,191,109,0
2025-03-24,SKU002,Snacks,15.18,176,124,0
2025-03-25,SKU002,Snacks,15.02,199,101,0
2025-03-26,SKU002,Snacks,15.46,182,118,0
2025-03-27,SKU002,Snacks,14.36,307,0,1
2025-03-28,SKU002,Snacks,15.13,209,91,0
2025-03-29,SKU002,Snacks,14.72,168,132,0
2025-03-30,SKU002,Snacks,14.32,188,112,0
2025-03-31,SKU002,Snacks,15.59,182,118,0
2025-04-01,SKU002,Snacks,15.41,224,76,0
2025-04-02,SKU002,Snacks,15.66,289,11,1
2025-04-03,SKU002,Snacks,14.45,236,64,0
2025-04-04,SKU002,Snacks,14.91,207,93,0
2025-04-05,SKU002,Snacks,14.73,227,73,0
2025-04-06,SKU002,Snacks,14.4,260,40,1
2025-04-07,SKU002,Snacks,14.35,235,65,0
2025-04-08,SKU002,Snacks,14.59,276,24,1
2025-04-09,SKU002,Snacks,15.39,168,132,0
2025-04-10,SKU002,Snacks,14.83,162,138,0
2025-04-11,SKU002,Snacks,15.11,226,74,0
2025-04-12,SKU002,Snacks,14.67,182,118,0
2025-04-13,SKU002,Snacks,15.22,181,119,0
2025-04-14,SKU002,Snacks,14.53,277,23,1
2025-04-15,SKU002,Snacks,15.35,208,92,0
2025-04-16,SKU002,Snacks,14.91,211,89,0
2025-04-17,SKU002,Snacks,15.02,202,98,0
2025-04-18,SKU002,Snacks,14.59,169,131,0
2025-04-19,SKU002,Snacks,15.3,173,127,0
2025-04-20,SKU002,Snacks,15.5,225,75,0
2025-04-21,SKU002,Snacks,14.58,188,112,0
2025-04-22,SKU002,Snacks,15.59,219,81,0
2025-04-23,SKU002,Snacks,15.66,210,90,0
2025-04-24,SKU002,Snacks,15.6,239,61,0
2025-04-25,SKU002,Snacks,15.51,209,91,0
2025-04-26,SKU002,Snacks,15.66,173,127,0
2025-04-27,SKU002,Snacks,15.12,269,31,1
2025-04-28,SKU002,Snacks,15.53,305,0,1
2025-04-29,SKU002,Snacks,15.55,172,128,0
2025-04-30,SKU002,Snacks,15.58,246,54,1
2025-05-01,SKU002,Snacks,14.58,174,126,0
2025-05-02,SKU002,Snacks,14.39,198,102,0
2025-05-03,SKU002,Snacks,15.08,195,105,0
2025-05-04,SKU002,Snacks,14.77,162,138,0
2025-05-05,SKU002,Snacks,14.81,234,66,0
2025-05-06,SKU002,Snacks,14.66,175,125,0
2025-05-07,SKU002,Snacks,15.45,218,82,1
2025-05-08,SKU002,Snacks,14.63,206,94,0
2025-05-09,SKU002,Snacks,14.49,212,88,0
2025-05-10,SKU002,Snacks,14.31,251,49,1
2025-05-11,SKU002,Snacks,15.52,198,102,0
2025-05-12,SKU002,Snacks,14.71,203,97,0
2025-05-13,SKU002,Snacks,14.27,222,78,0
