Date,SKU,Category,Price,Sales,Stock,Promotion
2025-01-01,SKU008,Bakery,39.17,75,85,0
2025-01-02,SKU008,Bakery,41.76,92,68,0
2025-01-03,SKU008,Bakery,39.32,66,94,0
2025-01-04,SKU008,Bakery,41.72,89,71,0
2025-01-05,SKU008,Bakery,39.99,73,87,0
2025-01-06,SKU008,Bakery,40.05,71,89,0
2025-01-07,SKU008,Bakery,38.65,92,68,0
2025-01-08,SKU008,Bakery,40.31,79,81,0
2025-01-09,SKU008,Bakery,38.56,104,56,1
2025-01-10,SKU008,Bakery,41.29,75,85,0
2025-01-11,SKU008,Bakery,40.64,72,88,0
2025-01-12,SKU008,Bakery,40.63,89,71,1
2025-01-13,SKU008,Bakery,40.52,92,68,0
2025-01-14,SKU008,Bakery,41.8,107,53,1
2025-01-15,SKU008,Bakery,39.5,98,62,1
2025-01-16,SKU008,Bakery,38.17,120,40,1
2025-01-17,SKU008,Bakery,39.24,90,70,0
2025-01-18,SKU008,Bakery,41.99,106,54,1
2025-01-19,SKU008,Bakery,38.55,64,96,0
2025-01-20,SKU008,Bakery,38.73,75,85,0
2025-01-21,SKU008,Bakery,39.48,79,81,0
2025-01-22,SKU008,Bakery,40.35,87,73,0
2025-01-23,SKU008,Bakery,38.68,85,75,0
2025-01-24,SKU008,Bakery,39.89,77,83,0
2025-01-25,SKU008,Bakery,40.99,80,80,0
2025-01-26,SKU008,Bakery,38.51,99,61,1
2025-01-27,SKU008,Bakery,40.31,83,77,0
2025-01-28,SKU008,Bakery,38.56,69,91,0
2025-01-29,SKU008,Bakery,40.1,78,82,0
2025-01-30,SKU008,Bakery,41.32,99,61,1
2025-01-31,SKU008,Bakery,41.58,89,71,0
2025-02-01,SKU008,Bakery,38.7,93,67,0
2025-02-02,SKU008,Bakery,38.43,66,94,0
2025-02-03,SKU008,Bakery,41.78,84,76,1
2025-02-04,SKU008,Bakery,39.28,84,76,0
2025-02-05,SKU008,Bakery,38.17,64,96,0
2025-02-06,SKU008,Bakery,41.54,121,39,1
2025-02-07,SKU008,Bakery,38.32,71,89,0
2025-02-08,SKU008,Bakery,39.34,87,73,0
2025-02-09,SKU008,Bakery,39.38,83,77,0
2025-02-10,SKU008,Bakery,39.73,94,66,0
2025-02-11,SKU008,Bakery,38.47,68,92,0
2025-02-12,SKU008,Bakery,40.24,64,96,0
2025-02-13,SKU008,Bakery,40.19,117,43,1
2025-02-14,SKU008,Bakery,41.47,87,73,0
2025-02-15,SKU008,Bakery,41.42,79,81,0
2025-02-16,SKU008,Bakery,38.15,87,73,0
2025-02-17,SKU008,Bakery,39.96,85,75,0
2025-02-18,SKU008,Bakery,38.43,85,75,0
2025-02-19,SKU008,Bakery,38.91,66,94,0
2025-02-20,SKU008,Bakery,39.41,87,73,1
2025-02-21,SKU008,Bakery,41.28,92,68,0
2025-02-22,SKU008,Bakery,40.38,79,81,0
2025-02-23,SKU008,Bakery,40.13,74,86,0
2025-02-24,SKU008,Bakery,40.08,109,51,1
2025-02-25,SKU008,Bakery,41.47,116,44,1
2025-02-26,SKU008,Bakery,39.25,80,80,0
2025-02-27,SKU008,Bakery,40.11,77,83,0
